matchId,awayTeam,awayTeamId,away_Q1_behinds,away_Q1_goals,away_Q1_total_score,away_Q2_behinds,away_Q2_goals,away_Q2_total_score,away_Q3_behinds,away_Q3_goals,away_Q3_total_score,away_Q4_behinds,away_Q4_goals,away_Q4_total_score,away_Q5_behinds,away_Q5_goals,away_Q5_total_score,away_Q6_behinds,away_Q6_goals,away_Q6_total_score,away_total_behinds,away_total_goals,away_total_score,datetime,homeTeam,homeTeamId,home_Q1_behinds,home_Q1_goals,home_Q1_total_score,home_Q2_behinds,home_Q2_goals,home_Q2_total_score,home_Q3_behinds,home_Q3_goals,home_Q3_total_score,home_Q4_behinds,home_Q4_goals,home_Q4_total_score,home_Q5_behinds,home_Q5_goals,home_Q5_total_score,home_Q6_behinds,home_Q6_goals,home_Q6_total_score,home_total_behinds,home_total_goals,home_total_score,localtime,matchId,roundAbbr,roundId,roundName,roundNumber,season,venueAbbr,venueId,venueName,weather_description,weather_temp,weather_type,year
CD_M20010140101,ESS,CD_T50,2.0,7.0,44.0,3.0,2.0,15.0,1.0,6.0,37.0,2.0,8.0,50.0,,,,,,,8.0,23.0,146.0,2001-03-30 04:10:00,NMFC,CD_T100,1.0,3.0,19.0,2.0,1.0,8.0,3.0,2.0,15.0,1.0,3.0,19.0,,,,,,,7.0,9.0,61.0,2001-03-30T14:10:00,CD_M20010140101,Rd 1,CD_R200101401,Round 1,1.0,CD_S2001014,MCG,CD_V40,MCG,Mostly Sunny,18.0,MOSTLY_SUNNY,2001
CD_M20010140102,COLL,CD_T40,3.0,4.0,27.0,5.0,2.0,17.0,7.0,2.0,19.0,0.0,3.0,18.0,,,,,,,15.0,11.0,81.0,2001-03-31 04:10:00,HAW,CD_T80,1.0,3.0,19.0,2.0,5.0,32.0,2.0,4.0,26.0,2.0,1.0,8.0,,,,,,,7.0,13.0,85.0,2001-03-31T14:10:00,CD_M20010140102,Rd 1,CD_R200101401,Round 1,1.0,CD_S2001014,MCG,CD_V40,MCG,Mostly Sunny,18.0,MOSTLY_SUNNY,2001
CD_M20010140104,STK,CD_T130,5.0,5.0,35.0,1.0,4.0,25.0,5.0,6.0,41.0,5.0,1.0,11.0,,,,,,,16.0,16.0,112.0,2001-03-31 04:10:00,WB,CD_T140,4.0,2.0,16.0,2.0,8.0,50.0,3.0,4.0,27.0,2.0,2.0,14.0,,,,,,,11.0,16.0,107.0,2001-03-31T14:10:00,CD_M20010140104,Rd 1,CD_R200101401,Round 1,1.0,CD_S2001014,ES,CD_V190,Etihad Stadium,Mostly Sunny,18.0,MOSTLY_SUNNY,2001
CD_M20010140105,BL,CD_T20,3.0,3.0,21.0,2.0,4.0,26.0,0.0,4.0,24.0,4.0,3.0,22.0,,,,,,,9.0,14.0,93.0,2001-03-31 04:40:00,PORT,CD_T110,3.0,0.0,3.0,4.0,3.0,22.0,5.0,10.0,65.0,3.0,1.0,9.0,,,,,,,15.0,14.0,99.0,2001-03-31T14:10:00,CD_M20010140105,Rd 1,CD_R200101401,Round 1,1.0,CD_S2001014,AS,CD_V10,AAMI Stadium,Mostly Sunny,18.0,MOSTLY_SUNNY,2001
CD_M20010140103,CARL,CD_T30,3.0,3.0,21.0,2.0,2.0,14.0,1.0,7.0,43.0,5.0,6.0,41.0,,,,,,,11.0,18.0,119.0,2001-03-31 06:10:00,FRE,CD_T60,3.0,3.0,21.0,4.0,7.0,46.0,1.0,3.0,19.0,2.0,5.0,32.0,,,,,,,10.0,18.0,118.0,2001-03-31T14:10:00,CD_M20010140103,Rd 1,CD_R200101401,Round 1,1.0,CD_S2001014,DS,CD_V70,Domain Stadium,Mostly Sunny,18.0,MOSTLY_SUNNY,2001
CD_M20010140106,WCE,CD_T150,0.0,3.0,18.0,2.0,0.0,2.0,0.0,1.0,6.0,5.0,3.0,23.0,,,,,,,7.0,7.0,49.0,2001-04-01 04:10:00,GEEL,CD_T70,4.0,3.0,22.0,3.0,4.0,27.0,2.0,5.0,32.0,4.0,5.0,34.0,,,,,,,13.0,17.0,115.0,2001-04-01T14:10:00,CD_M20010140106,Rd 1,CD_R200101401,Round 1,1.0,CD_S2001014,SS,CD_V30,Simonds Stadium,Mostly Sunny,18.0,MOSTLY_SUNNY,2001
CD_M20010140107,RICH,CD_T120,1.0,7.0,43.0,7.0,5.0,37.0,2.0,3.0,20.0,4.0,5.0,34.0,,,,,,,14.0,20.0,134.0,2001-04-01 04:10:00,MELB,CD_T90,3.0,3.0,21.0,3.0,3.0,21.0,6.0,4.0,30.0,1.0,5.0,31.0,,,,,,,13.0,15.0,103.0,2001-04-01T14:10:00,CD_M20010140107,Rd 1,CD_R200101401,Round 1,1.0,CD_S2001014,MCG,CD_V40,MCG,Mostly Sunny,18.0,MOSTLY_SUNNY,2001
CD_M20010140108,ADEL,CD_T10,1.0,4.0,25.0,3.0,2.0,15.0,2.0,1.0,8.0,8.0,3.0,26.0,,,,,,,14.0,10.0,74.0,2001-04-01 04:10:00,SYD,CD_T160,3.0,4.0,27.0,1.0,5.0,31.0,5.0,7.0,47.0,3.0,3.0,21.0,,,,,,,12.0,19.0,126.0,2001-04-01T14:10:00,CD_M20010140108,Rd 1,CD_R200101401,Round 1,1.0,CD_S2001014,SCG,CD_V60,SCG,Mostly Sunny,18.0,MOSTLY_SUNNY,2001
CD_M20010140201,PORT,CD_T110,1.0,3.0,19.0,3.0,3.0,21.0,2.0,3.0,20.0,5.0,7.0,47.0,,,,,,,11.0,16.0,107.0,2001-04-06 04:10:00,ESS,CD_T50,4.0,7.0,46.0,2.0,4.0,26.0,1.0,7.0,43.0,0.0,5.0,30.0,,,,,,,7.0,23.0,145.0,2001-04-06T14:10:00,CD_M20010140201,Rd 2,CD_R200101402,Round 2,2.0,CD_S2001014,ES,CD_V190,Etihad Stadium,Mostly Sunny,18.0,MOSTLY_SUNNY,2001
CD_M20010140202,HAW,CD_T80,2.0,5.0,32.0,3.0,3.0,21.0,2.0,7.0,44.0,4.0,1.0,10.0,,,,,,,11.0,16.0,107.0,2001-04-07 04:10:00,CARL,CD_T30,5.0,4.0,29.0,4.0,0.0,4.0,3.0,2.0,15.0,3.0,5.0,33.0,,,,,,,15.0,11.0,81.0,2001-04-07T14:10:00,CD_M20010140202,Rd 2,CD_R200101402,Round 2,2.0,CD_S2001014,VP,CD_V50,Visy Park,Mostly Sunny,18.0,MOSTLY_SUNNY,2001
